id_venda;data_venda;cliente;email;cidade;uf;produto;categoria;quantidade;preco_unitario;forma_pagamento;status_pedido
V0001;08/01/2025;  HENRIQUE MARTINS ;email_invalido;CURITIBA;pr;Mesa escritório;móveis;;899,90;cartao credito;concluido
V0002;2025-01-15;Patrícia Nunes;patricia.nunes@email.com;Fortaleza;CE;Teclado mecânico;Acessórios;3;389.5;Boleto;Concluído
V0003;2025-01-22;Bruno Lima;bruno.lima@email.com;Campinas;SP;Webcam;Eletrônicos;4;319;Cartão de débito;Pendente
V0004;2025-01-29;Isabela Ribeiro;isabela.ribeiro@email.com;Belo Horizonte;MG;Cadeira ergonômica;Móveis;5;1490;Pix;Cancelado
V0005;2025-02-05;Rafael Teixeira;rafael.teixeira@email.com;Recife;PE;Mouse sem fio;Acessórios;1;129.9;Cartão de crédito;Concluído
V0006;2025-02-12;Carla Mendes;carla.mendes@email.com;Goiânia;GO;Headset;Acessórios;2;279.9;Boleto;Concluído
V0007;2025-02-19;João Pereira;joao.pereira@email.com;Rio de Janeiro;RJ;Monitor 24;Eletrônicos;3;1099;Cartão de débito;Concluído
V0008;2025-02-26;Sofia Cardoso;sofia.cardoso@email.com;Salvador;BA;Notebook;Eletrônicos;4;3499.9;Pix;Pendente
V0009;2025-03-05;Daniel Rocha;daniel.rocha@email.com;Porto Alegre;RS;Mesa escritório;Móveis;5;899.9;Cartão de crédito;Cancelado
V0010;2025-03-12;Karina Gomes;karina.gomes@email.com;São Paulo;SP;Teclado mecânico;Acessórios;1;389.5;Boleto;Concluído
V0011;2025-03-19;Thiago Moreira;thiago.moreira@email.com;Curitiba;PR;Webcam;Eletrônicos;2;319;Cartão de débito;Concluído
V0012;2025-03-26;Eduarda Alves;eduarda.alves@email.com;Fortaleza;CE;Cadeira ergonômica;Móveis;3;1490;Pix;Concluído
V0013;2025-04-02;Lucas Ferreira;lucas.ferreira@email.com;Campinas;SP;Mouse sem fio;Acessórios;4;129.9;Cartão de crédito;Pendente
V0014;2025-04-09;Vanessa Araújo;vanessa.araujo@email.com;Belo Horizonte;MG;Headset;Acessórios;5;279,90;Boleto;Cancelado
V0015;2025-04-16;Felipe Santos;felipe.santos@email.com;Recife;PE;Monitor 24;Eletrônicos;1;1099;Cartão de débito;Concluído
V0016;2025-04-23;Mariana Oliveira;mariana.oliveira@email.com;Goiânia;GO;Notebook;Eletrônicos;2;3499.9;Pix;Concluído
V0017;2025-04-30;William Carvalho;william.carvalho@email.com;Rio de Janeiro;RJ;Mesa escritório;Móveis;3;899.9;Cartão de crédito;Concluído
V0018;2025-05-07;  GABRIELA COSTA ;gabriela.costa@email.com;Salvador;BA;Teclado mecânico;Acessórios;4;389.5;Boleto;Pendente
V0019;2025-05-14;Nicolas Barbosa;nicolas.barbosa@email.com;Porto Alegre;RS;Webcam;Eletrônicos;5;319;Cartão de débito;Cancelado
